Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17102024,1183075948,0002506
Trade Date <17-OCT-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2397,VENKEYS,EQ,65298,40663,62.27
20,2398,VENUSPIPES,EQ,84776,53845,63.51
20,2399,VENUSREM,EQ,24525,10517,42.88
20,2400,VERANDA,EQ,284265,159072,55.96
20,2401,VERTOZ,EQ,14029442,4883068,34.81
20,2402,VESUVIUS,EQ,55972,20063,35.84
20,2403,VGUARD,EQ,382142,153055,40.05
20,2404,VHL,EQ,1182,561,47.46
20,2405,VIAZ,SM,14000,14000,100.00
20,2406,VIDHIING,EQ,20640,13665,66.21
20,2407,VIESL,SM,140000,103200,73.71
20,2408,VIJAYA,EQ,212441,68043,32.03
20,2409,VIJIFIN,EQ,372841,280180,75.15
20,2410,VIKASECO,EQ,3518986,2143709,60.92
20,2411,VIKASLIFE,EQ,6781632,3349614,49.39
20,2412,VILAS,SM,70000,50000,71.43
20,2413,VILINBIO,SM,392000,240000,61.22
20,2414,VIMTALABS,EQ,19266,11202,58.14
20,2415,VINATIORGA,EQ,197774,186621,94.36
20,2416,VINDHYATEL,EQ,13710,8092,59.02
20,2417,VINEETLAB,EQ,92034,42925,46.64
20,2418,VINSYS,SM,4000,4000,100.00
20,2419,VINYAS,ST,4400,4400,100.00
20,2420,VINYLINDIA,EQ,16605,8581,51.68
20,2421,VIPIND,EQ,468468,224725,47.97
20,2422,VIRINCHI,EQ,208703,101063,48.42
20,2423,VISAKAIND,EQ,164274,83712,50.96
20,2424,VISAMAN,SM,3000,3000,100.00
20,2425,VISHNU,EQ,249556,131264,52.60
20,2426,VISHNUINFR,ST,6500,6000,92.31
20,2427,VISHWARAJ,EQ,1362479,709150,52.05
20,2428,VISHWAS,SM,9600,8000,83.33
20,2429,VITAL,SM,22800,21600,94.74
20,2430,VIVIANA,ST,6500,6500,100.00
20,2431,VIVIDHA,EQ,422515,271209,64.19
20,2432,VIVO,ST,1600,1600,100.00
20,2433,VLINFRA,ST,24000,18000,75.00
20,2434,VLSFINANCE,EQ,48517,27579,56.84
20,2435,VMARCIND,ST,11000,10000,90.91
20,2436,VMART,EQ,55090,38442,69.78
20,2437,VOLTAMP,EQ,24671,11024,44.68
20,2438,VOLTAS,EQ,1314829,566439,43.08
20,2439,VPRPL,EQ,2061048,810540,39.33
20,2440,VR,ST,4800,4800,100.00
20,2441,VRAJ,EQ,119884,59221,49.40
20,2442,VRLLOG,EQ,31488,17472,55.49
20,2443,VSSL,EQ,90700,46490,51.26
20,2444,VSTIND,EQ,357650,189384,52.95
20,2445,VSTL,EQ,53566,28038,52.34
20,2446,VSTTILLERS,EQ,2228,1535,68.90
20,2447,VTL,EQ,159463,66990,42.01
20,2448,WABAG,EQ,801656,375251,46.81
20,2449,WALCHANNAG,EQ,271754,100534,36.99
20,2450,WALPAR,SM,2000,2000,100.00
20,2451,WCIL,EQ,202789,106615,52.57
20,2452,WEBELSOLAR,EQ,938008,381660,40.69
20,2453,WEIZMANIND,EQ,375570,70964,18.90
20,2454,WEL,EQ,20728,4591,22.15
20,2455,WELCORP,EQ,890330,608441,68.34
20,2456,WELENT,EQ,118736,60894,51.29
20,2457,WELINV,EQ,643,278,43.23
20,2458,WELSPUNLIV,EQ,2005063,1100442,54.88
20,2459,WENDT,EQ,223,109,48.88
20,2460,WESTLIFE,EQ,54761,16639,30.38
20,2461,WEWIN,EQ,2113,1694,80.17
20,2462,WHEELS,EQ,70318,39788,56.58
20,2463,WHIRLPOOL,EQ,1188956,83318,7.01
20,2464,WILLAMAGOR,EQ,48917,6036,12.34
20,2465,WINDLAS,EQ,107758,44550,41.34
20,2466,WINDMACHIN,EQ,368193,229311,62.28
20,2467,WINNY,SM,1000,1000,100.00
20,2468,WINSOL,SM,33600,24000,71.43
20,2469,WIPL,EQ,791,541,68.39
20,2470,WIPRO,EQ,11877639,6065092,51.06
20,2471,WOCKPHARMA,EQ,304661,170675,56.02
20,2472,WOL3D,SM,32000,26000,81.25
20,2473,WOMANCART,ST,3200,3200,100.00
20,2474,WONDERLA,EQ,23139,12152,52.52
20,2475,WORTH,EQ,11125,4582,41.19
20,2476,WSI,EQ,109728,75510,68.82
20,2477,WSTCSTPAPR,EQ,229282,183607,80.08
20,2478,WTICAB,SM,21000,14000,66.67
20,2479,XCHANGING,EQ,174709,83325,47.69
20,2480,XPROINDIA,EQ,19546,10065,51.49
20,2481,XTGLOBAL,EQ,24024,10484,43.64
20,2482,YAARI,EQ,1181378,809540,68.53
20,2483,YASHO,EQ,9887,5982,60.50
20,2484,YASHOPTICS,SM,11200,9600,85.71
20,2485,YATHARTH,EQ,409518,195969,47.85
20,2486,YATRA,EQ,82234,53207,64.70
20,2487,YCCL,SM,21000,18000,85.71
